Energy (keV),Best Fit Normalized Absorption,Residuals
7.0461075,-0.000137066720086445,0.000328718609341083
7.04632642406667,-2.3722410423956e-05,0.000300020462933218
7.04654534813333,8.52873276292716e-05,0.00021947196582008
7.0467642722,0.000161413246559174,0.000110760063424086
7.04698319626667,0.000183063390701901,-9.3855684915207e-06
7.04720212033333,0.000134288224876887,-0.000129257684203788
7.0474210444,1.96535490747329e-05,-0.000235417312315129
7.04763996846667,-0.000122178648208729,-0.000320651556088881
7.04785889253333,-0.000246649196094035,-0.000381882167705102
7.0480778166,-0.000307427019489691,-0.000417802803558153
7.04829674066667,-0.000262516765906642,-0.000433178750080986
7.04851566473333,-0.000128871032658251,-0.000440706193731036
7.0487345888,4.06571057061789e-05,-0.000443634367584777
7.04895351286667,0.000192879924038344,-0.000444943335097391
7.04917243693333,0.000274622565353368,-0.000447290205076936
7.049391361,0.000255008619942995,-0.000443364179569324
7.04961028506667,0.000166044353538617,-0.000430132547429209
7.04982920913333,5.04517512046881e-05,-0.000409079235311115
7.0500481332,-4.93701510531927e-05,-0.000381365220810404
7.05026705726667,-9.32895507378147e-05,-0.000350012657088071
7.05048598133333,-7.72916554582303e-05,-0.00032382989181623
7.0507049054,-2.91264419471802e-05,-0.000304258737946968
7.05092382946667,2.21361914434349e-05,-0.000291724158594067
7.05114275353333,4.72195103346819e-05,-0.00028641996458144
7.0513616776,2.57959689944469e-05,-0.000283196194991651
7.05158060166667,-2.38391021784575e-05,-0.000277186362873129
7.05179952573333,-7.31769794249193e-05,-0.000267375851275276
7.0520184498,-9.3752198508055e-05,-0.000252706783724663
7.05223737386667,-5.79662636720521e-05,-0.000233555654947917
7.05245629793333,3.03721025079783e-05,-0.00021850055650099
7.052675222,0.000127739804133858,-0.000209779949103121
7.05289414606667,0.000188123553248589,-0.000208185152805746
7.05311307013333,0.00016558615876387,-0.000214583584530474
7.0533319942,2.63566722204623e-05,-0.000221474953607622
7.05355091826667,-0.000184816673308291,-0.000216730072063376
7.05376984233333,-0.000391783785967978,-0.000198578410365806
7.0539887664,-0.000518226284724536,-0.000165417726750469
7.05420769046667,-0.000488300759031758,-0.000117369240875256
7.05442661453333,-0.000280985480569524,-7.32875210563986e-05
7.0546455386,2.42210392333988e-05,-4.06877445219151e-05
7.05486446266667,0.000337110893534196,-2.17356863199552e-05
7.05508338673333,0.000567510009263673,-1.8630955267352e-05
7.0553023108,0.000633783433773218,-2.62725008765532e-05
7.05552123486667,0.000541742033969583,-2.90956939776804e-05
7.05574015893333,0.000348543006604542,-2.5513840616358e-05
7.055959083,0.000111978052141999,-1.45004830863959e-05
7.05617800706667,-0.000110214194765119,4.7979545753102e-06
7.05639693113333,-0.000273541584847686,2.70064390067945e-05
7.0566158552,-0.000369307644084991,4.83508599761298e-05
7.05683477926667,-0.000394863286160808,6.76388821295342e-05
7.05705370333333,-0.000347622487337827,8.3741232692788e-05
7.0572726274,-0.000226403040011817,9.42477551915561e-05
7.05749155146667,-5.34151179682328e-05,9.40409720754871e-05
7.05771047553333,0.000129247759332215,8.31945728197757e-05
7.0579293996,0.000278797002988203,6.23130344594398e-05
7.05814832366667,0.000352382632997456,3.21066755345465e-05
7.05836724773333,0.000320639136043985,4.86438351667907e-07
7.0585861718,0.000209420780160323,-2.63248967451857e-05
7.05880509586667,5.86395214069791e-05,-4.76170697442673e-05
7.05902401993333,-9.18262509684689e-05,-6.26462538231436e-05
7.059242944,-0.000202777567617916,-7.17038335713753e-05
7.05946186806667,-0.000257266103119603,-8.08589967063232e-05
7.05968079213333,-0.000265495270759008,-9.18872091111773e-05
7.0598997162,-0.00023931363575537,-0.000105585831821325
7.06011864026667,-0.000190556291181808,-0.000122765697104225
7.06033756433333,-0.000130352841901392,-0.000143352278506705
7.0605564884,-6.55447691160898e-05,-0.000165353811674556
7.06077541246667,-1.29886521238869e-06,-0.000186940410936125
7.06099433653333,5.72649705979007e-05,-0.000206329083794433
7.0612132606,0.000105089800756165,-0.000221787303376151
7.06143218466667,0.000138453941965899,-0.000232527126234354
7.06165110873333,0.000155958968003488,-0.000239625417055009
7.0618700328,0.000156493701560104,-0.000244420128934704
7.06208895686667,0.000139001707015106,-0.000248303956657977
7.06230788093333,0.000103264614859005,-0.000251787634035445
7.062526805,5.68145952390515e-05,-0.000252903296631913
7.06274572906667,1.15942006280646e-05,-0.000250327120804166
7.06296465313333,-2.03644991318577e-05,-0.000242818922025858
7.0631835772,-2.7011774552715e-05,-0.000229303684011704
7.06340250126667,-3.69994371389862e-06,-0.000212768768113732
7.06362142533333,3.48993354375666e-05,-0.000196344438666083
7.0638403494,7.10167272880886e-05,-0.000181952176004313
7.06405927346667,8.68831175801475e-05,-0.000171513681820764
7.06427819753333,6.59434471918031e-05,-0.000165469417715856
7.0644971216,1.17795199725207e-05,-0.000159286659433151
7.06471604566667,-5.55276287963374e-05,-0.000151268035169177
7.06493496973333,-0.000115441950982469,-0.00014003438520275
7.0651538938,-0.000147466685557287,-0.000124195263544758
7.06537281786667,-0.00013764152335722,-0.000106357147205999
7.06559174193333,-9.75306783296069e-05,-8.99067974013085e-05
7.065810666,-4.49983844765702e-05,-7.59695912298604e-05
7.06602959006667,2.03840048597444e-06,-6.56181820761376e-05
7.06624851413333,2.60262004900055e-05,-5.91989033565528e-05
7.0664674382,2.2495726000694e-05,-5.32057722586448e-05
7.06668636226667,2.42526465121366e-06,-4.62127981056867e-05
7.06690528633333,-2.2355202788151e-05,-3.72822184757608e-05
7.0671242104,-4.00479739978132e-05,-2.54440228890495e-05
7.06734313446667,-4.09324204102851e-05,-1.12163622334878e-05
7.06756205853333,-2.75897920897732e-05,3.7879747473967e-06
7.0677809826,-7.15296271238333e-06,1.9361850231001e-05
7.06799990666667,1.32493461958418e-05,3.52939742441771e-05
7.06821883073333,2.65640089283109e-05,5.14888257476289e-05
7.0684377548,2.97846212759182e-05,6.94055680049536e-05
7.06865667886667,2.678842848322e-05,8.99820484201937e-05
7.06887560293333,2.21824697490346e-05,0.000113770645221313
7.069094527,2.06480888282574e-05,0.000141249432079873
7.06931345106667,2.64464538648352e-05,0.000172323277221599
7.06953237513333,3.92121401334598e-05,0.000205838509180672
7.0697512992,5.60977564752676e-05,0.000241104415554539
7.06997022326667,7.43262269507436e-05,0.000277357559418227
7.07018914733333,9.12115000173501e-05,0.000313725078232699
7.0704080714,0.000103025397574245,0.000349080616196756
7.07062699546667,0.00010328395197876,0.000382926750571674
7.07084591953333,8.51272608133586e-05,0.000414944432072348
7.0710648436,4.17360761586348e-05,0.00044477395691568
7.07128376766667,-3.25644615836348e-05,0.000473146929974907
7.07150269173333,-0.000125826200800778,0.000503141497922375
7.0717216158,-0.000212175466527005,0.000534413052490417
7.07194053986667,-0.000265436189024177,0.000566408193144309
7.07215946393333,-0.000259549519552736,0.000598636282779172
7.072378388,-0.000179746519418869,0.00062504149960894
7.07259731206667,-5.34642241662437e-05,0.000641148553200068
7.07281623613333,8.17353278346702e-05,0.000646609625904761
7.0730351602,0.000188052424916399,0.000641314573372255
7.07325408426667,0.000228492318147747,0.00062693458936878
7.07347300833333,0.000196742759290805,0.000612706486165497
7.0736919324,0.000121486736895062,0.000602086544685438
7.07391085646667,3.31701425733061e-05,0.000597506550377105
7.07412978053333,-3.78157920677663e-05,0.000601452614856817
