#%Name: Olivine
#%Formula: (Mg,Fe)2SiO4
#%Mineral class: silicate
#%Xtal system: orthorombic
#%Edge: K
#%Sample prep: powder mixed with DI water, air dried on Cu TEM grid, then plunged in liquid ethane and cryo-transfered. sample mounted at 40 deg.
#%Beamline: ALS 10.3.2, HxV slits = 200x20 um
#%Det:  I0=N2, Fluorescence mode (Amptek C2)
#%Ref/notes: Chemplex standard
#%Temp: -177 Celcius, pressure= 1 10^-6.
#%Time&date=4:38 AM 3/31/2023. Sirine C. Fakra
#%===========================================
7.01057322112,-4.61153845825962e-05
7.01087322112,-0.000107058278325984
7.01117322112,-0.000137144524056783
7.01147322112,-0.000141865409154097
7.01177322112,-0.000126712220997031
7.01207322112,-9.71762469646896e-05
7.01237322112,-5.90079813480029e-05
7.01267322111999,-2.45581112374023e-05
7.01297322111999,-7.35355272518755e-06
7.01327322111999,-1.19516296872842e-05
7.01357322111999,-3.4279444499683e-05
7.01387322111999,-5.24528710763619e-05
7.01417322111999,-5.26318923507159e-05
7.01447322111999,-2.69878969396959e-05
7.01477322111999,1.03858394873096e-05
7.01507322111999,4.37857505164628e-05
7.01537322111999,6.32892721529603e-05
7.01567322111999,6.84759448118446e-05
7.01597322111999,6.49328769863222e-05
7.01627322111999,5.2139730600008e-05
7.01657322111999,3.0339404030617e-05
7.01687322111998,5.24731424343734e-06
7.01717322111998,-9.12100766503331e-06
7.01747322111998,1.40221680444221e-06
7.01777322111998,3.68736509257459e-05
7.01807322111998,8.2408974692025e-05
7.01837322111998,0.000117520904838836
7.01867322111998,0.000131703795444989
7.01897322111998,0.000128075229258297
7.01927322111998,0.00011459424099703
7.01957322111998,9.55029790183099e-05
7.01987322111998,6.67985023338147e-05
7.02017322111998,3.4354065647282e-05
7.02047322111998,8.31067262086742e-06
7.02077322111998,6.18343696288567e-06
7.02107322111998,2.82788039561062e-05
7.02137322111997,6.03957515489464e-05
7.02167322111997,8.0859950264289e-05
7.02197322111997,7.42281729325659e-05
7.02227322111997,4.78691882165515e-05
7.02257322111997,1.67977909260009e-05
7.02287322111997,5.95288927563406e-06
7.02317322111997,2.09802972053183e-05
7.02347322111997,5.86695686873026e-05
7.02377322111997,9.35034235190515e-05
7.02407322111997,0.000103971453654751
7.02437322111997,7.92240606232282e-05
7.02467322111997,3.01180356210648e-05
7.02497322111997,-1.60882320829512e-05
7.02527322111997,-4.33429924895941e-05
7.02557322111996,-4.57957962898248e-05
7.02587322111996,-4.04002110262573e-05
7.02617322111996,-3.89564696960783e-05
7.02647322111996,-4.87997553049458e-05
7.02677322111996,-6.24580872912341e-05
7.02707322111996,-6.7089962124049e-05
7.02737322111996,-5.12685512476971e-05
7.02767322111996,-1.56786685679811e-05
7.02797322111996,2.38941582126177e-05
7.02827322111996,4.84065705326756e-05
7.02857322111996,4.57562057916029e-05
7.02887322111996,2.44512247843933e-05
7.02917322111996,-1.21039366975564e-06
7.02947322111996,-1.76864520410655e-05
7.02977322111995,-2.21043849992946e-05
7.03007322111995,-1.69558167868944e-05
7.03037322111995,-5.06306423810424e-06
7.03067322111995,1.01133896791156e-05
7.03097322111995,2.30185701071225e-05
7.03127322111995,2.57327223678363e-05
7.03157322111995,1.26690219973063e-05
7.03187322111995,-1.27899048549998e-05
7.03217322111995,-3.83961483219037e-05
7.03247322111995,-5.02600609808949e-05
7.03277322111995,-3.86073877497624e-05
7.03307322111995,-5.3389355443788e-06
7.03337322111995,4.04466248624659e-05
7.03367322111995,8.55937698950019e-05
7.03397322111995,0.000118204173503694
7.03427322111994,0.00013595832241597
7.03457322111994,0.000138359385803133
7.03487322111994,0.000127264298630477
7.03517322111994,0.000104272864034003
7.03547322111994,7.22612935073038e-05
7.03577322111994,4.49774329680952e-05
7.03607322111994,3.12389363658099e-05
7.03637322111994,3.20879949257382e-05
7.03667322111994,3.61795473433089e-05
7.03697322111994,2.70456314375929e-05
7.03727322111994,3.08474439252586e-06
7.03757322111994,-3.09342437089103e-05
7.03787322111994,-5.95309960243412e-05
7.03817322111994,-7.95192673731393e-05
7.03847322111993,-9.25620062986532e-05
7.03877322111993,-0.000105420727844046
7.03907322111993,-0.000118852159382131
7.03937322111993,-0.00012740990255229
7.03967322111993,-0.00012685715391353
7.03997322111993,-0.000116957013270792
7.04027322111993,-0.000101796312512599
7.04057322111993,-8.52997978065793e-05
7.04087322111993,-6.98860438972789e-05
7.04117322111993,-5.85535662042464e-05
7.04147322111993,-5.42182420854679e-05
7.04177322111993,-5.71215103831326e-05
7.04207322111993,-6.68210194346894e-05
7.04237322111993,-8.33036777203283e-05
7.04267322111992,-0.000105714569362796
7.04297322111992,-0.000128532577739001
7.04327322111992,-0.000139725002967171
7.04357322111992,-0.000130482091282349
7.04387322111992,-0.000105243906748469
7.04417322111992,-7.86521987221209e-05
7.04447322111992,-6.60255515067616e-05
7.04477322111992,-6.90018003928974e-05
7.04507322111992,-7.98319222278626e-05
7.04537322111992,-8.88602321673724e-05
7.04567322111992,-9.09021736536444e-05
7.04597322111992,-8.63187312185729e-05
7.04627322111992,-7.60384490661286e-05
7.04657322111992,-6.1502782926856e-05
7.04687322111991,-4.58231893467831e-05
7.04717322111991,-3.33393932595644e-05
7.04747322111991,-2.83794274866805e-05
7.04777322111991,-3.27421021116904e-05
7.04807322111991,-4.53372484607616e-05
7.04837322111991,-6.37619579080861e-05
7.04867322111991,-8.35921050303448e-05
7.04897322111991,-9.8308091643084e-05
7.04927322111991,-0.000101815943483574
7.04957322111991,-9.20695697637386e-05
7.04987322111991,-7.95422144405536e-05
