Energy (keV),Normalized Absorption
7.010227827,1.38503817916708e-08
7.011228233,-6.82975614576181e-05
7.012228639,-0.000146535001806558
7.013229045,9.19230061366818e-05
7.014229451,-1.10538820362631e-05
7.015229856,-3.0376588727268e-05
7.016230262,-9.07546845540807e-05
7.017230668,-1.35550727907216e-05
7.018231074,2.07974342709433e-05
7.01923148,-0.000101229477289845
7.020231886,3.31261206202603e-05
7.021232291,0.000223855205661724
7.022232697,5.77611374346335e-05
7.023233103,8.84790909818917e-05
7.024233509,9.316489018867e-06
7.025233915,5.51312827940387e-05
7.026234321,8.91303643936043e-05
7.027234727,0.000148729555002589
7.028235132,-5.44125743454313e-05
7.029235538,-5.40120043409682e-05
7.030235944,-8.53251215649682e-05
7.03123635,6.65677101835101e-05
7.032236756,-5.46863340263406e-05
7.033237162,3.00941067371373e-05
7.034237567,4.14412620870332e-05
7.035237973,6.44261776204297e-05
7.036238379,1.4458960968451e-05
7.037238785,5.17061552232906e-05
7.038239191,-4.05153130988607e-05
7.039239597,-0.000114303432454415
7.040240002,-8.33362991945077e-05
7.041240408,2.09531822333821e-05
7.042240814,7.57660814973754e-05
7.04324122,0.000140728998343801
7.044241626,-0.000324956767457936
7.045242032,-0.000313639842961133
7.046242438,-0.000243318156677211
7.047242843,-0.000168868078303793
7.048243249,3.9969000538222e-05
7.049243655,8.65332392700972e-05
7.050244061,-4.19719089475836e-05
7.051244467,-2.84175605339272e-05
7.052244873,0.000224186448928736
7.053245278,0.00025482749490657
7.054245684,0.000153585699678804
7.05524609,0.000105080984340312
7.056246496,-0.000142352079013181
7.057246902,9.85377636813434e-05
7.058247308,3.18007817914289e-05
7.059247714,0.000144725982336538
7.060248119,-1.60478132659353e-05
7.061248525,0.000111527736120362
7.062248931,1.82964760898785e-05
7.063249337,-9.8100435455522e-05
7.064249743,-1.73680405045403e-05
7.065250149,-0.00017813809439976
7.066250554,-2.31916832371579e-05
7.06725096,0.000116226150403347
7.068251366,-1.39016232215277e-05
7.069251772,-9.67544794255413e-05
7.070252178,-5.89769863870216e-05
7.071252584,-4.23409017540922e-05
7.07225299,-1.06065689304083e-05
7.073253395,-0.000111307228351069
7.074253801,0.000189345995310993
7.075254207,-6.88521657000575e-05
7.076254613,-0.000180852168950365
7.077255019,0.000100061408060099
7.078255425,0.000129244598117425
7.07925583,-8.1988504914427e-05
7.080256236,0.000286666045398408
7.081256642,0.000294401742331411
7.082257048,0.00047233862800594
7.083257454,0.000960332427468842
7.08425786,0.00113977447975786
7.085258265,0.00153515186007807
7.086258671,0.00147779826231913
7.087259077,0.00220500000608488
7.088259483,0.00229491822703052
7.089259889,0.00260689639749873
7.090260295,0.00309267885544069
7.091260701,0.00349987913580509
7.092261106,0.00418730742027195
7.093261512,0.0040071415669888
7.094261918,0.00495813942349924
7.094912121,0.00541239096276459
7.095212121,0.00647136053029564
7.095512121,0.006162348432309
7.095812121,0.00571405378697803
7.096112121,0.00614764751239426
7.096412121,0.00615306293385212
7.096712121,0.00699422765443968
7.097012121,0.00727101087753229
7.097312121,0.007491528675777
7.097612121,0.00747918458773678
7.097912121,0.00722661837389557
7.098212121,0.00765278599881257
7.098512121,0.00716246217940341
7.098812121,0.00753297506123204
7.099112121,0.00767101518958603
7.099412121,0.00876581481703685
7.099712121,0.00906126167579571
7.100012121,0.0101230431341826
7.100312121,0.0101267772150235
7.100612121,0.00987907224050919
7.100912121,0.0111899474055957
7.101212121,0.0107572916700881
7.101512121,0.0107663684625065
7.101812121,0.0113549865626913
7.102112121,0.0114311587956375
7.102412121,0.012766913276949
7.102712121,0.0131153368878181
7.103012121,0.0139499298142448
7.103312121,0.0142219247189231
7.103612121,0.0142923604674084
7.103912121,0.0148982370433184
7.104212121,0.016043255448795
7.104512121,0.0167890803807159
7.104812121,0.0169683055197965
7.105112121,0.0177328643538117
7.105412121,0.0190308569308363
7.105712121,0.0198168523875135
7.106012121,0.0197749861412682
7.106312121,0.0211311668535266
7.106612121,0.0213219632913897
7.106912121,0.0234478647240807
7.107212121,0.023906371798341
7.107512121,0.0277410893946695
7.107812121,0.0287335768281365
7.108112121,0.0296868697815756
7.108412121,0.0329516528148449
7.108712121,0.0384957805575009
7.109012121,0.0420403524749361
7.109312121,0.0499385388684656
7.109612121,0.060613899032125
7.109912121,0.0741431519006847
7.110212121,0.0898332859412189
7.110512121,0.10895129594987
7.110812121,0.125496359047579
7.111112121,0.135786284202247
7.111412121,0.139815266415214
7.111712121,0.149602596145617
7.112012121,0.146949098245409
7.112312121,0.146430519612062
7.112612121,0.150665837345293
7.112912121,0.152483243603217
7.113212121,0.146308062875441
7.113512121,0.145460760115878
7.113812121,0.147519817179966
7.114112121,0.155413679487467
7.114412121,0.172810109109746
7.114712121,0.192348458845636
7.115012121,0.221139699153809
7.115312121,0.275986141075408
7.115612121,0.333559187093115
7.115912121,0.406229410987915
7.116212121,0.484200182358885
7.116512121,0.538862131684282
7.116812121,0.584927688327367
7.117112121,0.626008987854473
7.117412121,0.662165493741818
7.117712121,0.698282170814199
7.118012121,0.734333268750804
7.118312121,0.754496642411213
7.118612121,0.771448757267548
7.118912121,0.777980727999149
7.119212121,0.778911438611163
7.119512121,0.767574544837951
7.119812121,0.765959307028699
7.120112121,0.753794728581872
7.120412121,0.743186219297297
7.120712121,0.746996225911327
7.121012121,0.761223198123099
7.121312121,0.763703821754886
7.121612121,0.773782285996681
7.121912121,0.778948658161759
7.122212121,0.783618080258804
7.122512121,0.794189944863663
7.122812121,0.797515283165015
7.123112121,0.800585495258059
7.123412121,0.806551757251903
7.123712121,0.809526569368574
7.124012121,0.818570010049304
7.124312121,0.814537152809268
7.124612121,0.825350751680325
7.124912121,0.833779876245574
7.125212121,0.843647431067558
7.125512121,0.855402572184587
7.125812121,0.858688548385852
7.126112121,0.879451210843664
7.126412121,0.885061230202117
7.126712121,0.902802341773338
7.127012121,0.914804402201243
7.127312121,0.917928252018804
7.127612121,0.932258478752173
7.127912121,0.937196346758919
7.128212121,0.95147558185782
7.128512121,0.973087631126342
7.128812121,0.969486848573099
7.129112121,0.971794982253056
7.129412121,0.989291510263912
7.129712121,0.990146270347373
7.130012121,1.00982470562454
7.130312121,0.99881401346903
7.130612121,1.0120900701491
7.130912121,1.02722595666042
7.131212121,1.02585217324246
7.131512121,1.0384912359885
7.131812121,1.03536058136464
7.132112121,1.03464939789188
7.132412121,1.0550263614187
7.132712121,1.04748388843949
7.133012121,1.05196497470049
7.133312121,1.06042912070235
7.133612121,1.05013028755531
7.133912121,1.05333924793186
7.134212121,1.0626920367646
7.134512121,1.05838232421205
7.134812121,1.05696116960758
7.135112121,1.06322032326657
7.135412121,1.05864408479606
7.135712121,1.06045016280222
7.136012121,1.06533690949716
7.136312121,1.05851021389415
7.136612121,1.07155240774082
7.136912121,1.07246867536451
7.137212121,1.05480905287692
7.137512121,1.06646467970547
