Energy (keV),Best Fit Normalized Absorption,Residuals
7.0461075,-9.01152829256692e-07,-0.000247509696182615
7.0467642722,2.46149570942324e-06,-0.000222782502712363
7.0474210444,-4.51555852802674e-07,-0.000135982506756083
7.0480778166,-1.96421473956806e-06,1.07406746736692e-05
7.0487345888,-1.17453414427969e-06,9.47939011998807e-05
7.049391361,5.20351309860269e-07,7.23719007242353e-05
7.0500481332,1.67146534869844e-06,-1.89155124631998e-05
7.0507049054,1.62782502531056e-06,-7.32723151009606e-05
7.0513616776,5.86917854489485e-07,-5.27645187989248e-06
7.0520184498,-7.40409233415839e-07,0.000173311964374237
7.052675222,-1.58009913962086e-06,0.000274171525701654
7.0533319942,-1.49806566081979e-06,0.000247775231819741
7.0539887664,-6.74022040943424e-07,0.000171307040323423
7.0546455386,8.64371998411355e-08,0.000152324752096793
7.0553023108,6.11653095177314e-07,9.12472215614522e-05
7.055959083,1.08473113504011e-06,-0.000109465712430311
7.0566158552,1.35857198371698e-06,-7.72735344673764e-05
7.0572726274,1.18123851846206e-06,0.00010022473214132
7.0579293996,4.29665833945424e-07,5.41397599115275e-05
7.0585861718,-6.96736736366087e-07,6.64533068518277e-05
7.059242944,-1.54310745464973e-06,0.000146399372588351
7.0598997162,-1.40825830653425e-06,3.36027466219921e-05
7.0605564884,-8.02743972855485e-07,2.6559491637607e-06
7.0612132606,-1.91021059785683e-07,0.000108524832055679
7.0618700328,2.82649874695556e-07,8.25026777934791e-05
7.062526805,6.4664977525615e-07,-3.31535663992474e-05
7.0631835772,9.45922201676007e-07,-0.000100295091632802
7.0638403494,1.09727215834488e-06,-3.65989632703861e-05
7.0644971216,7.92135580135623e-07,-4.83773418610704e-05
7.0651538938,6.57711176547688e-08,-0.000170609180847245
7.065810666,-5.67545721610543e-07,-0.000124142173495033
7.0664674382,-8.60327903659275e-07,2.64081409829255e-05
7.0671242104,-8.1182949613304e-07,0.000115473376963735
7.0677809826,-5.6130749488255e-07,6.4970857139355e-05
7.0684377548,-2.61140168213284e-07,-4.04009138002299e-05
7.069094527,5.18336875803936e-08,-9.43778147252466e-05
7.0697512992,4.77097195510128e-07,-8.19901727653907e-05
7.0704080714,7.56684104000337e-07,-5.67587563405545e-05
7.0710648436,6.64378431036539e-07,-5.0659379386009e-05
7.0717216158,2.58913954539326e-07,-8.59259934359824e-06
7.072378388,-2.1447090548081e-07,-2.69675804288085e-05
7.0730351602,-4.77451284181071e-07,-0.000123417165465629
7.0736919324,-4.06558801206073e-07,2.53225881360297e-05
7.0743487046,-2.23754626207854e-07,0.000191651210931668
7.0750054768,-1.66455419837273e-07,2.15725874527409e-05
7.075662249,6.91590301940827e-08,-0.000171756413597099
7.0763190212,4.10930102931975e-07,-0.000170621757045373
7.0769757934,4.72305964646116e-07,1.77648065453258e-05
7.0776325656,-3.5695734692953e-08,0.000166500286947548
7.0782893378,-7.04725669790944e-07,0.000121937574726116
7.07894611,3.05128204575355e-07,-6.51731060534754e-05
7.0796028822,9.41741898803747e-05,-7.84574216713415e-05
7.0802596544,0.000195988584282637,9.15728866267929e-05
7.0809164266,0.000304970306873753,1.25605849053653e-05
7.0815731988,0.000420315299829983,-0.000118287538726943
7.082229971,0.000541219505327583,-8.03223145556612e-05
7.0828867432,0.000666878865542814,0.00013385530405304
7.0835435154,0.000796489322651934,0.000225147331086748
7.0842002876,0.000929246818831202,0.000192743015293298
7.0848570598,0.0010646828875469,0.000351055678114512
7.085513832,0.00120382922759134,0.000316374066478379
7.0861706042,0.00134813655901658,0.000105576013287363
7.0868273764,0.00149905562093788,0.000382666174077548
7.0874841486,0.0016580371524707,0.000625773589738618
7.0881409208,0.00182653189272986,0.000466627501677559
7.088797693,0.0020059905808308,0.000402377849500335
