Energy (keV),Normalized Absorption
7.010530858,1.13637121350812e-06
7.011531264,-6.73077785032992e-05
7.01253167,-0.000145673163643626
7.013532076,9.2662494593506e-05
7.014532482,-1.04326393820669e-05
7.015532887,-2.98684555795998e-05
7.016533293,-9.03547728068949e-05
7.017533699,-1.32580353920048e-05
7.018534105,2.09965670251634e-05
7.019534511,-0.000101123501003492
7.020534917,3.31446928061223e-05
7.021535322,0.000223791702832737
7.022535728,5.76199681262858e-05
7.023536134,8.82659947032463e-05
7.02453654,9.03653139084187e-06
7.025536946,5.47901157680818e-05
7.026537352,8.87333591488206e-05
7.027537758,0.000148282205930661
7.028538163,-5.49054105049362e-05
7.029538569,-5.4544353529521e-05
7.030538975,-8.58915293347265e-05
7.031539381,6.59732236045255e-05
7.032539787,-5.53039620075953e-05
7.033540193,2.94594066121092e-05
7.034540598,4.07949183098874e-05
7.035541004,6.37738205392793e-05
7.03654141,1.38060202697755e-05
7.037541816,5.10584215485127e-05
7.038542222,-4.11525755776478e-05
7.039542628,-0.000114924647874203
7.040543033,-8.3935736030055e-05
7.041543439,2.03811226513654e-05
7.042543845,7.52266358324589e-05
7.043544251,0.000140227447676955
7.044544657,-0.000325416517157813
7.045545063,-0.000314051678058977
7.046545469,-0.000243677103601842
7.047545874,-0.000169169488607338
7.04854628,3.9729846610537e-05
7.049546686,8.63600985149316e-05
7.050547092,-4.20756265999501e-05
7.051547498,-2.84480748825098e-05
7.052547904,0.000224232717210628
7.053548309,0.000254952557996796
7.054548715,0.000153791210670492
7.055549121,0.000105368370766399
7.056549527,-0.000141982730009945
7.057549933,9.89898960837832e-05
7.058550339,3.2333668231876e-05
7.059550745,0.000145337584093359
7.06055115,-1.53619053338946e-05
7.061551556,0.00011228334046822
7.062551962,1.91142459869376e-05
7.063552368,-9.72295655351095e-05
7.064552774,-1.64549185037722e-05
7.06555318,-0.000177197233672915
7.066553585,-2.22393474057308e-05
7.067553991,0.000117169407340004
7.068554397,-1.29926590435901e-05
7.069554803,-9.59089948622963e-05
7.070555209,-5.82294625378617e-05
7.071555615,-4.17325026029703e-05
7.072556021,-1.01857745889659e-05
7.073556426,-0.000111131504105209
7.074556832,0.000189210309542474
7.075557238,-6.9379716037835e-05
7.076557644,-0.000181864384290203
7.07755805,9.84557753373182e-05
7.078558456,0.000126915699170811
7.079558861,-8.43178958651808e-05
7.080559267,0.000284337513117826
7.081559673,0.000292073228068814
7.082560079,0.000470010528193935
7.083560485,0.000958005464291986
7.084560891,0.00113744793453743
7.085561296,0.00153282623577063
7.086561702,0.00147547250442368
7.087562108,0.00220267594198772
7.088562514,0.00229259437237089
