Energy (keV),Normalized Absorption
7.009924797,0.000333338322306073
7.010925203,-0.000116075465731399
7.011925609,0.000121898227684242
7.012926015,0.000242737773343041
7.013926421,4.27135425411275e-05
7.014926826,8.78687873385748e-05
7.015927232,-6.48723421730743e-05
7.016927638,-0.00036414212171163
7.017928044,-2.42297242569684e-05
7.01892845,1.52409479545188e-05
7.019928856,2.0454815765377e-05
7.020929261,3.39466900521144e-06
7.021929667,-0.000225700103291854
7.022930073,-0.000194389315868559
7.023930479,-6.85479732189674e-05
7.024930885,-8.69808145127323e-05
7.025931291,-0.000274663996142093
7.026931697,-0.000181342719465563
7.027932102,-0.000129239117909517
7.028932508,0.000108779273461264
7.029932914,0.000190807368399743
7.03093332,0.000126754458790918
7.031933726,-0.000303841905397981
7.032934132,-0.000173424520132497
7.033934537,-0.000248333721203337
7.034934943,-0.000153647717878774
7.035935349,0.000473851165300325
7.036935755,0.000295257307045516
7.037936161,0.000207983097221835
7.038936567,0.00052610851467503
7.039936972,-0.000238736389367787
7.040937378,0.000182233930712887
7.041937784,-7.20747785811843e-05
7.04293819,-2.51995108450519e-05
7.043938596,-8.84773617717742e-05
7.044939002,0.000193896095082114
7.045939408,5.63108617519109e-05
7.046939813,0.000249080737665775
7.047940219,-4.63611287922798e-05
7.048940625,-2.34600558665604e-05
7.049941031,-0.0001472830428547
7.050941437,-0.000200669998136275
7.051941843,-0.000283786829813635
7.052942248,-8.98825670424746e-06
7.053942654,7.22530343913767e-06
7.05494306,0.000282544776732761
7.055943466,-9.46355853930618e-05
7.056943872,-0.000126101278778494
7.057944278,-8.11543660266329e-05
7.058944684,-0.000153267142744994
7.059945089,0.000437295709154275
7.060945495,-0.000216809155717267
7.061945901,0.000245535417014128
7.062946307,0.000400691219273595
7.063946713,0.000280759414128656
7.064947119,0.000120780477177098
7.065947524,-5.32509378846315e-06
7.06694793,-5.58554376446406e-05
7.067948336,-0.000216329830170453
7.068948742,-0.000144169944829592
7.069949148,-5.93860990063586e-05
7.070949554,0.000346272526586963
7.07194996,-0.000428656503051814
7.072950365,-0.000351344182466881
7.073950771,-0.000412610482922916
7.074951177,-2.19607196950469e-05
7.075951583,0.000278267826261909
7.076951989,0.00022152499928333
7.077952395,0.000508758248569242
7.0789528,0.00028535474385425
7.079953206,-0.000214195087861933
7.080953612,-0.000290585743706444
7.081954018,0.000145762669132779
7.082954424,-0.000151105966601775
7.08395483,-0.000289301398634919
7.084955235,0.000260868301022839
7.085955641,-0.000446429038649852
7.086956047,-0.00046857478377392
7.087956453,0.00025597028432057
7.088956859,3.67196526016653e-06
7.089957265,0.000142457599485187
7.090957671,0.000139778370444466
7.091958076,0.000130037005907032
7.092958482,-0.000410935077313107
7.093958888,-0.000616659606483459
7.094609091,-0.000971453974807499
7.094909091,0.00168865465563851
7.095209091,0.000471368731666151
7.095509091,8.86231007849197e-05
